"variable","n_missing","pct_missing"
"eu_sctlkismktt",150,81.5
"eu_sctlkisothf",150,81.5
"eu_sctlkisothm",150,81.5
"eu_sctlkisotht",150,81.5
"eu_sctlkist",150,81.5
"eu_sctmf",150,81.5
"eu_sctmm",150,81.5
"eu_sctmt",150,81.5
"eu_sctnf",150,81.5
"eu_sctnm",150,81.5
"eu_sctnt",150,81.5
"eu_sctpaf",150,81.5
"eu_sctpam",150,81.5
"eu_sctpat",150,81.5
"eu_sctpf",150,81.5
"eu_sctpm",150,81.5
"eu_sctpt",150,81.5
"eu_sctqf",150,81.5
"eu_sctqm",150,81.5
"eu_sctqt",150,81.5
"eu_sctrf",150,81.5
"eu_sctrm",150,81.5
"eu_sctrt",150,81.5
"eu_sctsf",150,81.5
"eu_sctsm",150,81.5
"eu_sctst",150,81.5
"eu_trldnld",150,81.5
"eu_unemppcunef",150,81.5
"eu_unemppcunem",150,81.5
"eu_unemppcunet",150,81.5
"wwbi_psemptotf",150,81.5
"wwbi_psemptotm",150,81.5
"wwbi_psemptotu",150,81.5
"wwbi_psepempu",150,81.5
"wwbi_pupempss",150,81.5
"eu_demd3dens",149,81
"eu_eco2gdpeurhab",149,81
"eu_edupttr13",149,81
"eu_isiubk",149,81
"eu_isiucpp",149,81
"eu_isiuhlt",149,81
"eu_isiunet",149,81
"eu_isiusell",149,81
"eu_isiux",149,81
"eu_ispchhiacc",149,81
"lis_atk05",149,81
"lis_atk1",149,81
"lis_clsmf",149,81
"lis_cprsmf",149,81
"lis_cprtpf",149,81
"lis_dc150",149,81
"lis_dc5075",149,81
"lis_dc75150",149,81
"lis_gini",149,81
"lis_meaneqi",149,81
"lis_medeqi",149,81
"lis_pr8020",149,81
"lis_pr9010",149,81
"lis_pr9050",149,81
"lis_rprc40",149,81
"lis_rprc50",149,81
"lis_rprc60",149,81
"lis_rpre40",149,81
"lis_rpre50",149,81
"lis_rpre60",149,81
"lis_rprt40",149,81
"lis_rprt50",149,81
"lis_rprt60",149,81
"wvs_fight",149,81
"wwbi_prpempss",149,81
"cpds_chg",148,80.4
"cpds_enps",148,80.4
"cpds_enpv",148,80.4
"cpds_frel",148,80.4
"cpds_frleg",148,80.4
"cpds_govlr",148,80.4
"cpds_govsup",148,80.4
"cpds_la",148,80.4
"cpds_lall",148,80.4
"cpds_lcom",148,80.4
"cpds_lcon",148,80.4
"cpds_le",148,80.4
"cpds_lfe",148,80.4
"cpds_lg",148,80.4
"cpds_ll",148,80.4
"cpds_lls",148,80.4
"cpds_lmo",148,80.4
"cpds_lnl",148,80.4
"cpds_lo",148,80.4
"cpds_lp",148,80.4
"cpds_lpc",148,80.4
"cpds_lpen",148,80.4
"cpds_lper",148,80.4
"cpds_lr",148,80.4
"cpds_lreg",148,80.4
"cpds_lrel",148,80.4
"cpds_ls",148,80.4
"cpds_tg",148,80.4
"cpds_va",148,80.4
"cpds_vall",148,80.4
"cpds_vcom",148,80.4
"cpds_vcon",148,80.4
"cpds_ve",148,80.4
"cpds_vfe",148,80.4
"cpds_vg",148,80.4
"cpds_vl",148,80.4
"cpds_vls",148,80.4
"cpds_vmo",148,80.4
"cpds_vnl",148,80.4
"cpds_vo",148,80.4
"cpds_vp",148,80.4
"cpds_vpcom",148,80.4
"cpds_vpen",148,80.4
"cpds_vper",148,80.4
"cpds_vr",148,80.4
"cpds_vreg",148,80.4
"cpds_vrel",148,80.4
"cpds_vs",148,80.4
"cpds_vt",148,80.4
"wvs_confaf",148,80.4
"wvs_confch",148,80.4
"wvs_confcs",148,80.4
"wvs_confenv",148,80.4
"wvs_confgov",148,80.4
"wvs_confjs",148,80.4
"wvs_conflu",148,80.4
"wvs_confpar",148,80.4
"wvs_confpol",148,80.4
"wvs_confpp",148,80.4
"wvs_confpr",148,80.4
"wvs_confun",148,80.4
"wvs_demimp",148,80.4
"wvs_democ",148,80.4
"wvs_godbel",148,80.4
"wvs_godimp",148,80.4
"wvs_hap",148,80.4
"wvs_imppol",148,80.4
"wvs_imprel",148,80.4
"wvs_jabribe",148,80.4
"wvs_jacot",148,80.4
"wvs_menpol",148,80.4
"wvs_pmi4",148,80.4
"wvs_polint",148,80.4
"wvs_psarmy",148,80.4
"wvs_psdem",148,80.4
"wvs_psexp",148,80.4
"wvs_pssl",148,80.4
"wvs_satlif",148,80.4
"wvs_subh",148,80.4
"wvs_trust",148,80.4
"wvs_wduty",148,80.4
"wvs_wlazy",148,80.4
"eu_eco2gdpmioeur",147,79.9
"eu_demfrate2",146,79.3
"eu_demlbirthlf",146,79.3
"eu_demlbirthlm",146,79.3
"eu_demmawc",146,79.3
"eu_demmlifexpf",146,79.3
"eu_demmlifexpm",146,79.3
"eu_demmlifexpt",146,79.3
"eu_demdeathdf",145,78.8
"eu_demdeathdm",145,78.8
"eu_demdeathdt",145,78.8
"gol_mix",145,78.8
"sgi_ec",143,77.7
"sgi_ecbg",143,77.7
"sgi_ecec",143,77.7
"sgi_ecgf",143,77.7
"sgi_eclm",143,77.7
"sgi_ecri",143,77.7
"sgi_ectx",143,77.7
"sgi_en",143,77.7
"sgi_enen",143,77.7
"sgi_enge",143,77.7
"sgi_go",143,77.7
"sgi_goea",143,77.7
"sgi_goec",143,77.7
"sgi_pp",143,77.7
"sgi_qd",143,77.7
"sgi_qdai",143,77.7
