"country","iso","freedom","kinship","log_gdppc","log_pop","urban_pct","trade","internet","unemp","log_oilrent","log_gdppc_c"
"Mauritania","MRT","Partly Free",0.904196560382843,7.36312500372402,15.3997613205446,58.8120996197226,102.025899125696,34.3001,10.531,0,-1.32625585024917
"Mauritius","MUS","Free",0.859543323516846,9.27691790459799,14.0486226577875,39.0000125885784,147.663795034012,75.5,6.322,0,0.5875370506248
"Malawi","MWI","Partly Free",0.737564086914062,6.32907142498553,16.8392824220895,16.7146031979436,43.616624856781,17.0457,5.037,0,-2.36030942898767
"Malaysia","MYS","Partly Free",0.47704216837883,9.32292334856996,17.3621203517551,75.9741357073003,146.424604753908,97.3986,3.93,1.04577810702848,0.633542494596766
"Namibia","NAM","Free",0.711286187171936,8.27015424377498,14.8766500982315,49.5291037671807,99.2625547814064,61.1485,19.695,0,-0.419226610198217
"Niger (the)","NER","Partly Free",0.778837919235229,6.34000291392133,17.0467880828612,17.477207007512,52.8061484327332,23.2982,0.418,0.484077997483938,-2.34937794005186
"Nicaragua","NIC","Not Free",0.256293773651123,7.6851236519965,15.7221828737198,58.9954376220703,115.454678712865,49.1307,4.961,0.0203559579354749,-1.00425720197669
"Netherlands (the)","NLD","Free",0.261425882577896,10.8547118044952,16.6891306762311,94.9856177734136,184.107484252682,92.5197,3.526,0.0241062872189231,2.16533095052196
"Norway","NOR","Free",0.00521880341693759,11.2850226506279,15.5124330187581,82.9563661816034,82.6094798361389,99,3.231,1.95493754824407,2.59564179665471
"Nepal","NPL","Partly Free",0.756998896598816,7.0153125410957,17.2071771993995,66.2992968721053,48.9734014799428,53.8878,10.844,0,-1.67406831287749
"New Zealand","NZL","Free",0.614273011684418,10.6681475097146,15.4411564092426,83.8547305017812,53.4761627655817,96.1942,3.297,0.0973595159184058,1.97876665574139
"Pakistan","PAK","Partly Free",0.809174478054047,7.40384120704241,19.3114512555634,38.3740439760816,33.031353478032,24.2103,5.485,0.322226557282382,-1.28553964693078
"Panama","PAN","Free",0.351325243711472,9.67759431136272,15.2972907652764,65.8211343914956,93.4752688168442,77.7041,8.086,0,0.988213457389524
"Peru","PER","Partly Free",0.32791855931282,8.8050027991831,17.3263225338472,84.3663554951194,57.2969759649721,74.675,3.85,0.222426846738795,0.115621945209904
"Philippines (the)","PHL","Partly Free",0.075527586042881,8.18247579656423,18.5513961328576,54.7902343568327,72.4296836107599,75.2111,2.598,0.0336155124034994,-0.506905057408963
"Poland","POL","Free",0.499983996152878,9.75867244865389,17.421599233999,59.8315488048321,123.021332860345,86.9411,2.811,0.0405203271945431,1.06929159468069
"Portugal","PRT","Free",0.499798804521561,10.0007443831296,16.1606120811114,61.1259255772782,101.364146479435,84.4969,6.011,0.0505155156118834,1.31136352915641
"Paraguay","PRY","Partly Free",0.25853356719017,8.73523541818258,15.7266020847168,68.6396537819458,73.7379050218566,76.2592,6.755,0.0704242219666743,0.0458545642093817
"Qatar","QAT","Not Free",0.72108381986618,11.0715580465334,14.7928335462077,99.243997525719,100.213640845612,99.6528,0.13,2.78984317387231,2.38217719256022
"Romania","ROU","Free",0.0666466355323792,9.39900041316681,16.7624990212745,52.1634832477272,93.9496509383447,85.5031,5.614,0.320799330098845,0.709619559193618
"Russian Federation (the)","RUS","Not Free",0.327276945114136,9.22217630021034,18.7869678734608,74.8544893625017,42.7827864294811,90.418,3.867,2.36758544776249,0.532795446237145
"Rwanda","RWA","Not Free",1,6.85479078570671,16.4293255346239,27.7806702737761,61.1450795033651,31.2252,15.084,0,-1.83459006826648
"Saudi Arabia","SAU","Not Free",0.649151384830475,10.1926779091827,17.2867072733492,84.1349430023993,56.8241647749332,100,5.589,3.2062481931624,1.5032970552095
"Senegal","SEN","Partly Free",0.851219534873962,7.26766441853425,16.6863088323088,53.4435061024348,79.5998216515832,59.2246,2.837,0,-1.42171643543894
"Singapore","SGP","Partly Free",0.630525588989258,11.1304755438516,15.5448664698413,100,332.34956775484,95.9539,3.591,0,2.44109468987838
"Solomon Islands","SLB","Free",0.721008777618408,7.48919813061716,13.5684149322936,29.3511689856806,74.8355405329858,42.094,1.483,0,-1.20018272335603
"Sierra Leone","SLE","Partly Free",0.995886385440826,6.98201716714775,15.9289678239685,44.2666343543487,45.0542127390319,19.2287,3.175,0,-1.70736368682545
"El Salvador","SLV","Partly Free",0.280381977558136,8.37930049385716,15.6529313333326,74.1465021298679,88.7011093776867,65.5298,2.999,0.000150407387063841,-0.310080360116038
